rank,city,country,vegetation_2020,vegetation_2024,change_percentage,change_direction
1,Al Baha,Saudi Arabia,0.49528720986944835,1.4113795072081303,184.96,↗️ Increase
2,San Fernando,Chile,22.800115946830097,61.45490098978471,169.54,↗️ Increase
3,Abha,Saudi Arabia,7.645244207122072,20.39107221162165,166.72,↗️ Increase
4,Amman,Jordan,1.715102429728442,4.5554265656279425,165.61,↗️ Increase
5,Iquique,Chile,0.0473943166984637,0.0,-100.0,↘️ Decrease
6,Seoul,South Korea,31.3441712926249,54.639239076268794,74.32,↗️ Increase
7,Manta,Ecuador,45.74376304283421,76.84387471392635,67.99,↗️ Increase
8,Gaza,Palestine,25.130487517936857,9.517281571401135,-62.13,↘️ Decrease
9,Mecca,Saudi Arabia,1.7781921640271363,0.7908409648928867,-55.53,↘️ Decrease
10,Nablus,Palestine,28.76655656212186,17.390522287994244,-39.55,↘️ Decrease
11,Jeddah,Saudi Arabia,3.5004853265399642,2.427002700270027,-30.67,↘️ Decrease
12,Ramallah,Palestine,39.955349682835696,29.013883040232074,-27.38,↘️ Decrease
13,Madinah,Saudi Arabia,2.821958290325517,3.482950920531791,23.42,↗️ Increase
14,Sultanbeyli,Turkey,55.45655176400396,44.57833812639224,-19.62,↘️ Decrease
15,Irbid,Jordan,15.692626710249222,13.189450377660458,-15.95,↘️ Decrease
16,Medellin,Colombia,71.13935668236545,60.733756412768756,-14.63,↘️ Decrease
17,Nilüfer,Turkey,45.75039867698305,39.23433173399299,-14.24,↘️ Decrease
18,Udon Thani,Thailand,68.1152657061191,58.49851818938704,-14.12,↘️ Decrease
19,Istanbul,Turkey,49.982297399007244,43.087277321422704,-13.79,↘️ Decrease
20,Portoviejo,Ecuador,80.11961848553513,91.00795918159366,13.59,↗️ Increase
