city_id,city,country,state_province,latitude,longitude,status,total_processing_time_seconds,vegetation_percentage_2020,high_density_percentage_2020,medium_density_percentage_2020,low_density_percentage_2020,total_pixels_2020,vegetation_pixels_2020,ndvi_mean_2020,images_processed_2020,images_found_2020,vegetation_percentage_2024,high_density_percentage_2024,medium_density_percentage_2024,low_density_percentage_2024,total_pixels_2024,vegetation_pixels_2024,ndvi_mean_2024,images_processed_2024,images_found_2024,vegetation_percentage_change,high_density_percentage_change,medium_density_percentage_change,low_density_percentage_change,output_files_count_2020,output_files_count_2024,geographic_bounds_2020,geographic_bounds_2024,error_message
b2b00574-6325-40d2-8e33-a7214c324696,Vancouver,Canada,British Columbia,49.2194423509897,-123.0800485610962,success,67.85,74.57993152488807,44.79713901556631,21.78700636236364,7.9957861469581255,360715,269021,0.47794604301452637,1,1,68.4818069099082,33.701614027063634,23.07554875848195,11.704644124362625,559718,383305,0.4258326590061188,1,1,-8.18,-24.77,5.91,46.39,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
59b2fa95-7b31-40d7-bf99-bd422a510321,Querétaro,Mexico,Querétaro,20.561087056816795,-100.35663664340974,success,32.21,27.77234230930896,6.597029074291029,11.800888952484865,9.374424282533067,559085,155271,0.2669486403465271,1,1,24.105993589626717,4.904956553129888,10.368359447643147,8.83267758885368,548486,132218,0.2395964115858078,1,1,-13.2,-25.65,-12.14,-5.78,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
95bc2646-3179-4fc2-9b2f-3a1048265be0,Nis,Serbia,Nišava,43.35112349727735,21.86557710170746,success,56.24,77.77872353840576,44.07039611607635,20.50866159108463,13.199665831244777,634410,493436,0.5480550527572632,1,1,75.5659589224634,34.01428098548258,26.229410002994907,15.32226793398591,634410,479398,0.4996766746044159,1,1,-2.84,-22.82,27.89,16.08,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
c27cefba-94af-475a-a94d-0f770b8d8691,Madinah,Saudi Arabia,Al Madinah,24.46709207247817,39.41558718681336,success,94.67,2.821958290325517,0.7901173362975643,1.2192594973846729,0.8125814566432795,516379,14572,0.05741913616657257,1,1,3.482950920531791,1.1528043272954045,1.3753215367692033,0.9548250564671832,835441,29098,0.06754718720912933,1,1,23.42,36.27,12.8,14.22,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
458196dd-d6d8-4543-8ab5-f03b0c09e06b,Logan,Australia,Queensland,-27.661750362818513,152.95730352401736,success,88.91,90.82032685954431,56.21381765402028,25.952628845319207,8.653880360204814,421649,382943,0.5985555052757263,1,1,90.54397451275074,59.6549075755349,23.719829895367635,7.169237041848205,421858,381967,0.6154628396034241,1,1,-0.3,6.12,-8.6,-17.16,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
cfdf7542-db20-4547-b777-74b8e757a307,Quito,Ecuador,Pichincha,-0.22260133056348672,-78.39691400527956,success,98.17,52.9082728007331,27.667207542510024,14.58458352198996,10.656481736233122,461597,244223,0.4427949786186218,1,1,51.99555636865389,29.318488900840457,14.326082308572285,8.350985159241144,453683,235895,0.45868775248527527,1,1,-1.73,5.97,-1.77,-21.63,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
e7b7685a-28d3-4964-bd35-5b10e102b51c,Bhubaneswar,India,Odisha,20.310792960783253,85.88016450405121,success,48.78,78.47114726142863,43.26839363020483,22.67100430517115,12.531749326052655,667337,523667,0.5162591934204102,1,1,70.75711956761202,12.890566481119745,36.10527707198143,21.761276014510848,680870,481764,0.3766324818134308,1,1,-9.83,-70.21,59.26,73.65,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
cdf78c37-b7cb-45f6-9000-742e232943af,Riyadh,Saudi Arabia,Riyadh,24.871252708576712,46.777338981628425,success,215.42,1.402631924721293,0.2094725032595842,0.5192593416145302,0.6739000798471786,395756,5551,0.07157972455024719,1,1,1.4296471111425555,0.23600042449755157,0.5008060399937336,0.6928406466512702,395762,5658,0.06854547560214996,1,1,1.93,2.65,-1.85,1.89,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
709f19ab-5bba-43f6-9f49-1fad96e50b96,Udon Thani,Thailand,Udon Thani,17.432842083437578,102.8087228536606,success,51.74,68.1152657061191,33.948370943062656,21.79225429531677,12.374640467739692,445718,303602,0.4165639579296112,1,1,58.49851818938704,13.669756827760546,24.521557073075336,20.307204288551162,695433,406818,0.3233579695224762,1,1,-14.12,-59.73,12.52,64.1,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
75d92395-2108-43c2-a93d-333586a19278,Mecca,Saudi Arabia,Makkah,21.35565741169411,39.666438102722175,success,107.41,1.7781921640271363,0.2273467772903406,0.6343309633801506,0.9165144233566449,687496,12225,0.04140030965209007,1,1,0.7908409648928867,0.08465503799294832,0.2829107369351967,0.4232751899647416,687496,5437,0.03870348632335663,1,1,-55.53,-14.27,-35.14,-49.32,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
